Model,RMSE,Precision@10,Recall@10
User-Based CF - Pearson,0.9871371013739757,0.6846959225524661,0.796446415892001
Baseline Mean/Bias,0.8409528080440873,0.6815918957068287,0.7923175008894925
SVD Matrix Factorization,0.8399055206337159,0.6799140433578353,0.7898763685527325
User-Based CF - Cosine,0.9892104801920087,0.6790751171833386,0.7883931172821477
Item-Based CF - Pearson,0.865570244427925,0.6721959225524662,0.7806435526067798
Item-Based CF - Cosine,0.8679382505309181,0.6558368621497815,0.76089923080031
Popularity Baseline,,0.006075949367088607,0.006577319599520484
